objectid,old file,filename,youtubeid,vimeoid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col003_39,col003_p39.jpg,col003_p35.jpg,,,"Traveling through Iowa, Indiana and Utah",Willett Family,1921,,"Top left: The Adams family stands in front of an automobile in Lowden, Iowa.<br>Top right: Men stand in campground near outfit in Dixon, Indiana.<br>Bottom left: Four children in Westville, Indiana<br>Bottom right: Ogden campground in Utah.",men;women;children;families;campgrounds;automobiles;auto bungalows;tents,"Lowden, IA;Westville, IN;Ogden, UT",,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_40,col003_p40.jpg,col003_p36.jpg,,,"Traveling through Canada, New York and Wyoming",Willett Family,1921,,"Top left: Men standing in front of Clifton Hotel, Canada.<br>Top right: Deserted road in Wyoming.<br>Bottom right: ""Maid of the Mist"" boat floats under bridge in Niagara Falls, New York.",men;hotels;boats;bridges,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_41,col003_p41.jpg,col003_p37.jpg,,,"Traveling through Utah, Wyoming and Idaho",Willett Family,1921,,"Top left: Building in Saltair, Salt Lake, Utah.<br>Top right: Motel Granger and College Inn buildings in Granger, Wyoming.<br>Bottom left: Castle Mountain, Wyoming.<br>Bottom right: Group of men and women prepare for Trader's Day in Meridian, Idaho. ",motels;colleges;buildings;men;women;traders day,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_42,col003_p42.jpg,col003_p38.jpg,,,Traveling through Idaho and Wyoming,Willett Family,1921,,"Top left: Group of men and women prepare for Trader's Day in Meridian, Idaho.<br>Top right: Sagebrush covered road in Wyoming.<br>Bottom left: Group of men and women at Trader's Day.<br>Bottom right: Men and women seated next to the auto camper.",men;women;campgrounds;sagebrush;auto bungalows,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_43,col003_p43.jpg,col003_p39.jpg,,,Traveling through Idaho and Wyoming,Willett Family,1921,,"Top left: Group of people gather for Trader's Day in Meridian, Idaho.<br>Top right: Western building in Carbon, Wyoming.<br>Bottom left: Butte and sagebrush view in Echo Canyon, Wyoming.<br>Bottom right: Campground in Lexington",men;women;sagebrush;auto bungalows;campgrounds;buildings;automobiles;trucks,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_44,col003_p44.jpg,col003_p40.jpg,,,Traveling through Illinois and Iowa,Willett Family,1921,,"Top left: Campground in Clinton, Iowa.<br>Top right: Sign entering DeKalb Illinois.<br>Bottom: Campground in Council Bluffs, Iowa.",men;campgrounds;auto bungalows;tents,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_45,col003_p45.jpg,col003_p41.jpg,,,"Traveling through Utah, Nebraska and Idaho",Willett Family,1921,,"Top left: Saltair picnic area in Salt Lake, Utah.<br>Top right: Trader's Day in Meridian, Idaho.<br>Bottom left: Men sit in front of outfit in No. Platte, Nebraska.<br>Bottom right: Man, child and dog at ranch in Buhl, Idaho.",men;children;dogs;auto bungalows;horses,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_46,col003_p46.jpg,col003_p42.jpg,,,"Traveling through Mississippi, New York and Idaho",Willett Family,1921,,"Top left: View of the Mississippi river.<br>Bottom left: Men and woman sit on porch in front of home in Fredonia, New York.<br>Right: Aunt Debbie stands on porch in front of home in Cottonwood, Idaho.",rivers;men;women;houses,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_47,col003_p47.jpg,col003_p43.jpg,,,"Family Image from Coggon, Iowa",Willett Family,1921,,"Left: Blank. Center: Patton home in Coggon, Iowa.<br>Right: Aunt Mary Morse, Frank and Ethel Patton stand in front of home in Coggon, Iowa.",families;houses;men;women,"Coggon, IA",42.2808248,-91.5304412,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_48,col003_p48.jpg,col003_p44.jpg,,,Traveling through Idaho and Wyoming,Willett Family,1921,,"Top left: Two boys stand in front of carriage in Meridian, Idaho.<br>Top right: View of houses in Meridian, Idaho.<br>Bottom left: men sit atop Sherman Hill in Wyoming.<br>Bottom right: Southern Idaho dried fruit company. Meridian, Idaho.",children;men;houses;carriages;orchards;fruit;sagebrush,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_49,col003_p49.jpg,col003_p45.jpg,,,"Images of Meridian, Idaho",Willett Family,1921,,Top left: View of homes.<br>Top right: Sagebrush covered field.<br>Bottom left: Horses in front of Meridian High School.<br>Bottom right: Automobiles in front of Meridian High School.,sagebrush;meridian high school;horses;automobiles;houses,"Meridian, ID",43.6094542,-116.3931117,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
